Date,Details,Transaction Type,In,Out
05/09/2025,GOOGLE CLOUD EMEA,Direct Debit,,7.00
19/08/2025,Queen Caroline Est QCE TRA funds,Inward Payment,4146.33,
07/08/2025,GOOGLE CLOUD EMEA,Direct Debit,,4.74
01/07/2025,GOOGLE IRELAND-185008-12873494 912858-GOOGLE IRELAND-&--&-GG1040UHAH,BACS Payment Received,0.25,
12/06/2025,CHARLES PETER JAMES RUSBRIDGER LOAN REPAYMENT,Outward Faster Payment,,175.80
12/06/2025,HAMMERSMITH TENANTS ASSOCIATION - null,TRANSFER,,135.00
10/06/2025,LBHF MAIN AP-605006-11402598 756884-LBHF MAIN AP-&--&-9030 9700374099 K,BACS Payment Received,250.00,
02/06/2025,RUSBRIDGER CPJ S94 ZEROINTLOAN,Inward Payment,175.80,
06/03/2026,GOOGLE CLOUD EMEA,Direct Debit,,7.00
27/02/2026,,Account Maintenance Fee,,3.00
06/02/2026,GOOGLE CLOUD EMEA,Direct Debit,,7.00
28/01/2026,,Account Maintenance Fee,,3.00
08/01/2026,GOOGLE CLOUD EMEA,Direct Debit,,7.00
05/12/2025,GOOGLE CLOUD EMEA,Direct Debit,,7.00
03/12/2025,CHARLES PETER JAMES RUSBRIDGER NOV EXPENSES,Outward Faster Payment,,409.54
07/11/2025,GOOGLE CLOUD EMEA,Direct Debit,,7.00
07/10/2025,GOOGLE CLOUD EMEA,Direct Debit,,7.00
